Hyperfind Name,Description,Cost Center,Org Unit,Employment Status,Schedule Group
BMCN BICU,Null,Null,10002372,Y,Null
BMCN BWU,Null,Null,10003898,Y,Null
BMCN CAP - Group 1,Null,Null,10003576,Y,BMCN Group 1
BMCN CAP - Group 2,Null,Null,10003576,Y,BMCN Group 2
BMCN CAROL BALL MED UNIT,Null,Null,60001880,Y,Null
BMCN CDU - Outpatient,Null,Null,10002396,Y,Null
BMCN Central Sterile,Null,Null,10002368,Y,Null
BMCN CICU,Null,Null,10002377,Y,Null
BMCN ED,Null,Null,10002388#10002417,Y,Null
BMCN ED + JHHS ED RN,Null,Null,10002388#60009978#10002417,Y,Null
BMCN ED Pediatrics,Null,4004257607,Null,Y,Null
BMCN ED PEDS + INPT PEDS,Null,4005357001#4004257607,Null,Y,Null
BMCN LD,Null,Null,10002380,Y,Null
BMCN Med A,Null,Null,10002391,Y,Null
BMCN MED B,Null,Null,10002393,Y,Null
BMCN Med Burton 4,Null,Null,60011929,Y,Null
BMCN Med D,Null,Null,60010303,Y,Null
BMCN MICU,Null,Null,10002378,Y,Null
BMCN NBN,Null,Null,10002382,Y,Null
BMCN NCCU,Null,Null,10002369,Y,Null
BMCN NCCU/NSU,Null,Null,10002369#10002370,Y,Null
BMCN NICU,Null,Null,10002383,Y,Null
BMCN NNP,Null,Null,10002414,Y,Null
BMCN NSU,Null,Null,10002370,Y,Null
BMCN Nursing Practice IP EDU,Null,4001350305,Null,Y,Null
BMCN Nursing Recruitment,Null,4001350308,Null,Y,Null
BMCN OBGYN,Null,Null,10002380#10002381#10002382#60001326,Y,Null
BMCN PACU,Null,Null,10002373,Y,Null
BMCN Patient Safety,Null,4000850302,Null,Y,Null
BMCN PCU,Null,Null,10002376,Y,Null
BMCN PEDS,Null,Null,10002384,Y,Null
BMCN Periop,Null,4007257201,Null,Y,Null
BMCN PES,Null,Null,60001301,Y,Null
BMCN SICU,Null,Null,10002371,Y,Null
BMCN SURG,Null,Null,10002366,Y,Null
BMCN Trauma Coordinator,Null,Null,10002367,Y,Null
BMCN WENZ,Null,Null,10003776,Y,Null
BMCN-Nursing Admin Mgmt,Null,4801310007#4500150305,Null,Y,Null
BMC-Patient Safety Ctr,Null,4000850302,Null,Y,Null
FM-Global,Null,4000350300#4000350301#4000350303#4000450306#4500310301#4500310303#4500310304#4500310305#4500310310#4500310311#4800310300#4800310302#4800310305#4800310314,Null,Y,Null
HCGH-4608*-We/Alt Rad Dept,Null,Null,Null,Y,Null
HCGH-461*-CAS,Null,Null,Null,Y,Null
HCGH-461*-Tcas Employees,Null,Null,Null,Y,Null
HCGH-4617517000-Docum. Central,Null,4617515000,Null,Y,Null
HCGH-4617525000-Tcas,Null,4617525000,Null,Y,Null
HCGH-4617555000-Tcas,Null,4617555000,Null,Y,Null
HCGH-6405410000-Innov+Continou,Null,6405410000,Null,Y,Null
HCGH-6405610000-Wellness Cente,Null,6405610000,Null,Y,Null
HCGH-6405700000-Gift Shop,Null,6405700000,Null,Y,Null
HCGH-6405800000-CMTBCRC,Null,6405800000,Null,Y,Null
HCGH-6406010000-Administration,Null,6406010000,Null,Y,Null
HCGH-6406110000-Public Relatio,Null,6406110000,Null,Y,Null
HCGH-6406115000-Medical Librar,Null,6406115000,Null,Y,Null
HCGH-6406120000-Case Mgmt.,Null,6406120000,Null,Y,Null
HCGH-6406121000-Utilization,Null,6406121000,Null,Y,Null
HCGH-6406130000-ARM INS PAT SAF,Null,6406130000,Null,Y,Null
HCGH-6406140000-Patient Relations,Null,6406140000,Null,Y,Null
HCGH-6406141000 PASTORAL,Null,6406141000,Null,Y,Null
HCGH-6406141000-Pastoral Care,Null,6406141000,Null,Y,Null
HCGH-6406142000-Envir Services,Null,6406920000,Null,Y,Null
HCGH-6406142000-Volunteers,Null,6406142000,Null,Y,Null
HCGH-6406210000-Admitting,Null,6406210000,Null,Y,Null
HCGH-6406210000-HOS Admitting,Null,6406210000,Null,Y,Null
HCGH-6406215000-Revenue Cycle,Null,6406215000,Null,Y,Null
HCGH-6406250000-Finance Decisi,Null,6406250000,Null,Y,Null
HCGH-6406270000-Regulatory Com,Null,6406270000,Null,Y,Null
HCGH-6406310000-Info. Systems,Null,6406310000,Null,Y,Null
HCGH-64063150000-Clinical Info,Null,6406315000,Null,Y,Null
HCGH-6406350000-Communications,Null,6406350000,Null,Y,Null
HCGH-6406375000-EPIC,Null,6406375000,Null,Y,Null
HCGH-6406375000-EPIC Install,Null,6406375000,Null,Y,Null
HCGH-6406410000-Human Resource,Null,6406410000,Null,Y,Null
HCGH-6406430000-Emp. Health,Null,6406430000,Null,Y,Null
HCGH-6406450000-Light Duty WC,Null,6406450000,Null,Y,Null
HCGH-6406510000-Health Info. M,Null,6406510000,Null,Y,Null
HCGH-6406710000-Medical Staff,Null,6406710000,Null,Y,Null
HCGH-6406810000-Material Mgmt.,Null,6406810000,Null,Y,Null
HCGH-6406820000-General Stores,Null,6406820000,Null,Y,Null
HCGH-6406930000-Safety+Securit,Null,6406930000,Null,Y,Null
HCGH-6406940000-Biomed,Null,6406940000,Null,Y,Null
HCGH-6406950000-Plant Ops.,Null,6406950000,Null,Y,Null
HCGH-6406955000-Maint Bldng 1,Null,6406955000,Null,Y,Null
HCGH-6407000000-Patient Care A,Null,6407000000,Null,Y,Null
HCGH-6407010000-Nursing,Null,6407010000,Null,Y,Null
HCGH-6407020000-Nursing Orient,Null,6407020000,Null,Y,Null
HCGH-6407030000-Externs,Null,6407030000,Null,Y,Null
HCGH-6407040000-Nurse Floats,Null,6407040000,Null,Y,Null
HCGH-6407041000-Med Surg Float Pool,Null,6407041000,Null,Y,Null
HCGH-6407043000-Maternal Child Float Pool,Null,6407043000,Null,Y,Null
HCGH-6407044000-Emergency ADulT Float Pool,Null,6407044000,Null,Y,Null
HCGH-6407045000-BH Float Pool,Null,6407045000,Null,Y,Null
HCGH-6407050000-Continuing Edu,Null,6407050000,Null,Y,Null
HCGH-6407070000--Central Monitoing Nurs,Null,6407070000,Null,Y,Null
HCGH-6407071000-Constant Observer,Null,6407071000,Null,Y,Null
HCGH-6407071000-Constant Observers,Null,6407071000,Null,Y,Null
HCGH-6407120000-2 P Surg,Null,6407120000,Null,Y,Null
HCGH-6407125000-Flr 2 South,Null,6407125000,Null,Y,Null
HCGH-6407130000-3 P Tele,Null,6407130000,Null,Y,Null
HCGH-6407140000-Flr 4 Pavilion,Null,6407140000,Null,Y,Null
HCGH-6407210000-Psych,Null,6407210000,Null,Y,Null
HCGH-6407215000-Psych Social W,Null,6407215000,Null,Y,Null
HCGH-6407230000-Flr 3 South,Null,6407230000,Null,Y,Null
HCGH-64072350000-CCU,Null,6407235000,Null,Y,Null
HCGH-6407310000-Pediatrics,Null,6407310000,Null,Y,Null
HCGH-6407320000-MCU,Null,6407320000,Null,Y,Null
HCGH-6407330000-Nursery,Null,6407330000,Null,Y,Null
HCGH-6407350000-Lactation,Null,6407350000,Null,Y,Null
HCGH-6407360000-Labor+Delivery,Null,6407360000,Null,Y,Null
HCGH-6407370000-CMFM,Null,6407370000,Null,Y,Null
HCGH-6407380000-Audiology,Null,6407380000,Null,Y,Null
HCGH-6407410000-Emergency Dept,Null,6407410000,Null,Y,Null
HCGH-6407420000-Pediatric Emer,Null,6407420000,Null,Y,Null
HCGH-6407430000-CX ED Stroke,Null,6407430000,Null,Y,Null
HCGH-6407440000-Short Stay,Null,6407440000,Null,Y,Null
HCGH-6407520000-Operating Room,Null,6407520000,Null,Y,Null
HCGH-6407530000-Same Day Surg,Null,6407530000,Null,Y,Null
HCGH-6407540000-Endoscopy Hosp,Null,6407540000,Null,Y,Null
HCGH-6407550000-100 PACU,Null,6407550000,Null,Y,Null
HCGH-6407550000-400 PACU,Null,6407550000,Null,Y,Null
HCGH-6407560000-Aneshesiology,Null,6407560000,Null,Y,Null
HCGH-6407570000-Sterile Supply,Null,6407570000,Null,Y,Null
HCGH-6408*-Pulmonary Group,Null,Null,Null,Y,Null
HCGH-6408200000-Outpatient Adm,Null,6408200000,Null,Y,Null
HCGH-6408210000-Respir Therapy,Null,6408210000,Null,Y,Null
HCGH-6408215000-EEG,Null,6408215000,Null,Y,Null
HCGH-6408220000-Pulmonary Func,Null,6408220000,Null,Y,Null
HCGH-6408225000-EKG,Null,6408225000,Null,Y,Null
HCGH-6408230000-EECP,Null,6408230000,Null,Y,Null
HCGH-6408235000-Echo,Null,6408235000,Null,Y,Null
HCGH-6408240000-Cardiac Diagno,Null,6408240000,Null,Y,Null
HCGH-6408245000-Cardiac Rehab,Null,6408245000,Null,Y,Null
HCGH-6408250000-Physical Ther Inp,Null,6408250000,Null,Y,Null
HCGH-6408250200-Outpatient PT,Null,6408250200,Null,Y,Null
HCGH-6408255000- Occ Therapy,Null,6408255000,Null,Y,Null
HCGH-6408255200-Outpatient OT,Null,6408255200,Null,Y,Null
HCGH-6408260000-Occ Ther Psych,Null,6408260000,Null,Y,Null
HCGH-6408265000-Speech Therapy,Null,6408265000,Null,Y,Null
HCGH-6408265200-Outpatient ST,Null,6408265200,Null,Y,Null
HCGH-6408310000-Phys+Surg Asst,Null,6408310000,Null,Y,Null
HCGH-6408340000-Central Transp,Null,6408340000,Null,Y,Null
HCGH-6408400000-Imaging Admin,Null,6408400000,Null,Y,Null
HCGH-6408410000-Diagnostic Img,Null,6408410000,Null,Y,Null
HCGH-6408415000-Radiation Onco,Null,6408415000,Null,Y,Null
HCGH-6408420000-Cat Scan,Null,6408420000,Null,Y,Null
HCGH-6408430000-Nuclear Med,Null,6408430000,Null,Y,Null
HCGH-6408450000-MRI Hospital,Null,6408450000,Null,Y,Null
HCGH-6408460000-Mammography,Null,6408460000,Null,Y,Null
HCGH-6408470000-Breast Health,Null,6408470000,Null,Y,Null
HCGH-6408475000-Cardiac Cath,Null,6408475000,Null,Y,Null
HCGH-6408490000-Ultrasound,Null,6408490000,Null,Y,Null
HCGH-6408493000-Perinatology,Null,6408493000,Null,Y,Null
HCGH-6408495000-Vascular Lab,Null,6408495000,Null,Y,Null
HCGH-6408520000-Anbulatory BGS,Null,6408520000,Null,Y,Null
HCGH-6408710000-Pharmacy,Null,6408710000,Null,Y,Null
HCGH-6408805000-Clinic,Null,6408810000,Null,Y,Null
HCGH-6408810000-ClinicInfusion,Null,6408810000,Null,Y,Null
HCGH-6408815000-Diabetes,Null,6408815000,Null,Y,Null
HCGH-6408820000-Wound Care,Null,6408820000,Null,Y,Null
HCGH-6408830000-AC Clinic,Null,6408830000,Null,Y,Null
HCGH-6408845000-Breast Health,Null,6408845000,Null,Y,Null
HCGH-6408910000-Dietary,Null,6408910000,Null,Y,Null
HCGH-6408920000-Cafeteria,Null,6408920000,Null,Y,Null
HCGH-6408930000-Catering,Null,6408930000,Null,Y,Null
HCGH-6408940000-Vending,Null,6408940000,Null,Y,Null
HCGH-6419110000-HHF,Null,6419110000,Null,Y,Null
SEC Transportation - 10001794,Null,Null,10001794,Y,Null
SH - 6005408626,Null,6005408625#6005408626,Null,Y,Null
SH - Hrs in Float Tier II-III,Null,Null,Null,Y,Null
SH - Pat Care Techs - ED Techs,Null,Null,Null,Y,Null
SH Human Resources Group,Null,Null,Null,Y,Null
SH RNs Unit Float,Null,Null,Null,Y,Null
SH Unsch Shifts Nursing Div,Null,6001116015#6001116016#6001116018#6001116020#6001116021#6001126340#6001126348#6001136381#6001146280#6001206375#6001206378#6001326362#6001406022#6001408750#6001508620#6001606347#6002407450#6002407456#6021206375,Null,Y,Null
SH WEA Misc Hours Audit,Null,Null,40364400,Y,Null
SH WEA RNs,Null,Null,Null,Y,Null
SH WEA Weekday Hours Check,Null,Null,Null,Y,Null
SH-6001116012-SH 5200,Null,6001116012,Null,Y,Null
SH-6001116015-ADULT SURGICAL,Null,6001116015,Null,Y,Null
SH-6001116016-ORHTO-NEURO,Null,6001116016,Null,Y,Null
SH-6001116018-ONCOLOGY,Null,6001116018,Null,Y,Null
SH-6001116019-6400-MS2,Null,6001116019,Null,Y,Null
SH-6001116020-MED SURG,Null,6001116020,Null,Y,Null
SH-6001116021-ACUTE MED SURG,Null,6001116021,Null,Y,Null
SH-6001116022-SH 4800,Null,6001116022,Null,Y,Null
SH-6001116023-SH 4700,Null,6001116023,Null,Y,Null
SH-6001116024-SH 3700,Null,6001116024,Null,Y,Null
SH-6001116025-SH 3800,Null,6001116025,Null,Y,Null
SH-6001116026-SH 4300,Null,6001116026,Null,Y,Null
