Hyperfind Name,Description,Cost Center,Org Unit,Employment Status,Schedule Group
SH-6006106351-ENT,SH-6006106351-ENT-6006106351,6006106351,Null,Y,Null
SH-6006106353-UROLOGY,SH-6006106353-UROLOGY-6006106353,6006106353,Null,Y,Null
SH-6006106375-TRAUMA,SH-6006106375-TRAUMA-6006106375,6006106375,Null,Y,Null
SH-6006107415-EKG,SH-6006107415-EKG-6006107415,6006107415,Null,Y,Null
SH-6006107417-CV ADMIN,SH-6006107417-CV ADMIN-6006107417,6006107417,Null,Y,Null
SH-6006107435-ANESTHESIA,SH-6006107435-ANESTHESIA-6006107435,6006107435,Null,Y,Null
SH-6006107536-BREAST,SH-6006107536-BREAST-6006107536,6006107536,Null,Y,Null
SH-6006108605-CORPORATE,SH-6006108605-CORPORATE-6006108605,6006108605,Null,Y,Null
SH-6006108721-MEDICAL STAFF,SH-6006108721-MEDICAL STAFF-6006108721,6006108721,Null,Y,Null
SH-6006108756-DIABETES,SH-6006108756-DIABETES-6006108756,6006108756,Null,Y,Null
SH-6007107380-UBIT,SH-6007107380-UBIT-6007107380,6007107380,Null,Y,Null
SH-6007108610-ADMINISTRATION,SH-6007108610-ADMINISTRATION-6007108610,6007108610,Null,Y,Null
SH-6008100000-NON DEPT,SH-6008100000-NON DEPT-6008100000,6008100000,Null,Y,Null
SH-6008108605-CORPORATE,SH-6008108605-CORPORATE-6008108605,6008108605,Null,Y,Null
SH-6008108619-ACTION,SH-6008108619-ACTION-6008108619,6008108619,Null,Y,Null
SH-6008108999-NON DEPT,SH-6008108999-NON DEPT-6008108999,6008108999,Null,Y,Null
SH-6015408656-FND FOUNDATION,SH-6015408656-FND FOUNDATION-6015408656,6015408656,Null,Y,Null
SH-6021337900-PA PHYSI ASSIST,SH-6021337900-PA PHYSI ASSIST-6021337900,6021337900,Null,Y,Null
SH-6021337910-PA PHYS ASST CV,SH-6021337910-PA PHYS ASST CV-6021337910,6021337910,Null,Y,Null
SH-6111336800-SC OUTPAT SURG,SH-6111336800-SC OUTPAT SURG-6111336800,6111336800,Null,Y,Null
SHHS-BHU Excluded,SHHS-BHU Excluded-6001156343,6001156343,Null,Y,Null
SHHS-BHU/OR Excluded,SHHS-BHU/OR Excluded-6001156343,6001156343,Null,Y,Null
SHHS-Non-Scheduling Users,SHHS-Non-Scheduling Users-,Null,Null,Y,Null
SHHS-OR,SHHS-OR-6001316360 6001337435,6001316360#6001337435,Null,Y,Null
SHP VU Burton 1,SHP VU Burton 1-10002309,Null,10002309,Y,Null
SHP Wound Team,SHP Wound Team-10002317,Null,10002317,Y,Null
Sibley Grand Oaks,Sibley Grand Oaks-,Null,Null,Y,Null
SMH ASRs,SMH ASRs-SMH ASRs,Null,Null,Y,SMH ASRs
SMH CNA-Day,SMH CNA-Day-SMH CNA-Day,Null,Null,Y,SMH CNA-Day
SMH CNA-Night,SMH CNA-Night-SMH CNA-Night,Null,Null,Y,SMH CNA-Night
SMH Periop Group A,SMH Periop Group A-SMH Periop Group A,Null,Null,Y,SMH Periop Group A
SMH Periop Group B,SMH Periop Group B-SMH Periop Group B,Null,Null,Y,SMH Periop Group B
SMH Periop Group C,SMH Periop Group C-SMH Periop Group C,Null,Null,Y,SMH Periop Group C
SMH REN-Exempt,SMH REN-Exempt-SMH REN Exempt,Null,Null,Y,SMH REN Exempt
SMH SASC Group A,SMH SASC Group A- SMH SASC Group A,Null,Null,Y, SMH SASC Group A
SMH SASC Group B,SMH SASC Group B- SMH SASC Group B,Null,Null,Y, SMH SASC Group B
SMH SASC Group C,SMH SASC Group C- SMH SASC Group C,Null,Null,Y, SMH SASC Group C
SMH-6301010203-Senior Assoc,SMH-6301010203-Senior Assoc-6301010203,6301010203,Null,Y,Null
SMH-6301020131-OperatingRoom,SMH-6301020131-OperatingRoom-6301020131,6301020131,Null,Y,Null
SMH-6301020132-PACU,SMH-6301020132-PACU-6301020132,6301020132,Null,Y,Null
SMH-6301020133-SterileProcessing,SMH-6301020133-SterileProcessing-6301020133,6301020133,Null,Y,Null
SMH-6301020134-SibleyAmbSurgCtr,SMH-6301020134-SibleyAmbSurgCtr-6301020134,6301020134,Null,Y,Null
SMH-6301020135-2APrePostSurg,SMH-6301020135-2APrePostSurg-6301020135,6301020135,Null,Y,Null
SMH-6301020138-Surg Posting,SMH-6301020138-Surg Posting-6301020138,6301020138,Null,Y,Null
SMH-6301020140-PreSurgTestingCtr,SMH-6301020140-PreSurgTestingCtr-6301020140,6301020140,Null,Y,Null
SMH-6301020144-Endoscopy,SMH-6301020144-Endoscopy-6301020144,6301020144,Null,Y,Null
SMH-6301020145-Endo Recovery,SMH-6301020145-Endo Recovery-6301020145,6301020145,Null,Y,Null
SMH-6301020149-Anesthesia,SMH-6301020149-Anesthesia-6301020149,6301020149,Null,Y,Null
SMH-6301020221-5B,SMH-6301020221-5B-6301020221,6301020221,Null,Y,Null
SMH-6301020224-Emergency Medicine,SMH-6301020224-Emergency Medicine-6301020224,6301020224,Null,Y,Null
SMH-6301020227-Transport,SMH-6301020227-Transport-6301020227,6301020227,Null,Y,Null
SMH-6301020242-Resp Ther,SMH-6301020242-Resp Ther-6301020242,6301020242,Null,Y,Null
SMH-6301020271-Hem Onc,SMH-6301020271-Hem Onc-6301020271,6301020271,Null,Y,Null
SMH-6301020271-Hematology Oncology,SMH-6301020271-Hematology Oncology-6301020271,6301020271,Null,Y,Null
SMH-6301020351-6B,SMH-6301020351-6B-6301020351,6301020351,Null,Y,Null
SMH-6301020355-7B,SMH-6301020355-7B-6301020355,6301020355,Null,Y,Null
SMH-6301020412-FamilyCtrdCare,SMH-6301020412-FamilyCtrdCare-6301020412,6301020412,Null,Y,Null
SMH-6301020413-SpecCareNursery,SMH-6301020413-SpecCareNursery-6301020413,6301020413,Null,Y,Null
SMH-6301020415-ChildbirthEdu,SMH-6301020415-ChildbirthEdu-6301020415,6301020415,Null,Y,Null
SMH-6301020428-MaternalFetalMed,SMH-6301020428-MaternalFetalMed-6301020428,6301020428,Null,Y,Null
SMH-6301020503-PCC,SMH-6301020503-PCC-6301020503,6301020503,Null,Y,Null
SMH-6301020504-Safety Sitter,SMH-6301020504-Safety Sitter-6301020504,6301020504,Null,Y,Null
SMH-6301020507-Nursing PRN Pool,SMH-6301020507-Nursing PRN Pool-,Null,Null,Y,Null
SMH-6301020601-Onc Svc Line Admin,SMH-6301020601-Onc Svc Line Admin-6301020601,6301020601,Null,Y,Null
SMH-6301020605-Rad Therapy,SMH-6301020605-Rad Therapy-6301020605,6301020605,Null,Y,Null
SMH-6301020606-Unity Health,SMH-6301020606-Unity Health-6301020606,6301020606,Null,Y,Null
SMH-6301020641-Med Onc Clinic,SMH-6301020641-Med Onc Clinic-6301020641,6301020641,Null,Y,Null
SMH-6301020642-Med Onc,SMH-6301020642-Med Onc-6301020642,6301020642,Null,Y,Null
SMH-6301020643-Proton Therapy,SMH-6301020643-Proton Therapy-6301020643,6301020643,Null,Y,Null
SMH-6301020961-Renaissance,SMH-6301020961-Renaissance-6301020961,6301020961,Null,Y,Null
SMH-6301030483-Case Cor,SMH-6301030483-Case Cor-6301030483,6301030483,Null,Y,Null
SMH-6301040113-JHUSOM Thor Surg,SMH-6301040113-JHUSOM Thor Surg-6301040113,6301040113,Null,Y,Null
SMH-6301040125-JHUSOM Dr Smith,SMH-6301040125-JHUSOM Dr Smith-6301040125,6301040125,Null,Y,Null
SMH-6301060147-GI Sib JHU Prac,SMH-6301060147-GI Sib JHU Prac-6301060147,6301060147,Null,Y,Null
SMH-6301060204-Diag Fluoro,SMH-6301060204-Diag Fluoro-6301060204,6301060204,Null,Y,Null
SMH-6301060206-IRCV,SMH-6301060206-IRCV-6301060206,6301060206,Null,Y,Null
SMH-6301060206-SpecialProc,SMH-6301060206-SpecialProc-6301060206,6301060206,Null,Y,Null
SMH-6301060207-Ultrasound,SMH-6301060207-Ultrasound-6301060207,6301060207,Null,Y,Null
SMH-6301060208-BreastCenter,SMH-6301060208-BreastCenter-6301060208,6301060208,Null,Y,Null
SMH-6301060209-MRI,SMH-6301060209-MRI-6301060209,6301060209,Null,Y,Null
SMH-6301060210-Nuclear Med,SMH-6301060210-Nuclear Med-6301060210,6301060210,Null,Y,Null
SMH-6301060211-Xray Admin,SMH-6301060211-Xray Admin-6301060211,6301060211,Null,Y,Null
SMH-6301060213-PACS RIS,SMH-6301060213-PACS RIS-6301060213,6301060213,Null,Y,Null
SMH-6301060214-CT Imaging,SMH-6301060214-CT Imaging-6301060214,6301060214,Null,Y,Null
SMH-6301060215-MOB Rad Gen Diag,SMH-6301060215-MOB Rad Gen Diag-6301060215,6301060215,Null,Y,Null
SMH-6301060216-MOB Rad Ultrasound,SMH-6301060216-MOB Rad Ultrasound-6301060216,6301060216,Null,Y,Null
SMH-6301060217-MOB Rad Ct,SMH-6301060217-MOB Rad Ct-6301060217,6301060217,Null,Y,Null
SMH-6301060219-MOB Rad Admin,SMH-6301060219-MOB Rad Admin-6301060219,6301060219,Null,Y,Null
SMH-6301060262-Cardio Non Inv,SMH-6301060262-Cardio Non Inv-6301060262,6301060262,Null,Y,Null
SMH-6301060263-Sleep Center,SMH-6301060263-Sleep Center-6301060263,6301060263,Null,Y,Null
SMH-6301060263-Sleep Ctr,SMH-6301060263-Sleep Ctr-6301060263,6301060263,Null,Y,Null
SMH-6301060267-Electroneurodiag,SMH-6301060267-Electroneurodiag-6301060267,6301060267,Null,Y,Null
SMH-6301080178-InfoTechnology,SMH-6301080178-InfoTechnology-6301080178,6301080178,Null,Y,Null
SMH-6301090109-Volunteers,SMH-6301090109-Volunteers-6301090109,6301090109,Null,Y,Null
SMH-6301090212-Chap Svcs,SMH-6301090212-Chap Svcs-6301090212,6301090212,Null,Y,Null
SMH-6301090370-Pharmacy,SMH-6301090370-Pharmacy-6301090370,6301090370,Null,Y,Null
