Hyperfind Name,Description,Cost Center,Org Unit,Employment Status,Schedule Group
BMCN-BICU,BMCN-BICU-10002372,Null,10002372,Y,Null
BMCN-BWU,BMCN-BWU-10003898,Null,10003898,Y,Null
BMCN-CAP-Group 1,BMCN-CAP-Group 1-10003576 BMCN Group 1,Null,10003576,Y,BMCN Group 1
BMCN-CAP-Group 2,BMCN-CAP-Group 2-10003576 BMCN Group 2,Null,10003576,Y,BMCN Group 2
BMCN-CAROL BALL MED UNIT,BMCN-CAROL BALL MED UNIT-60001880,Null,60001880,Y,Null
BMCN-CDU-Outpatient,BMCN-CDU-Outpatient-10002396,Null,10002396,Y,Null
BMCN-Central Sterile,BMCN-Central Sterile-10002368,Null,10002368,Y,Null
BMCN-CICU,BMCN-CICU-10002377,Null,10002377,Y,Null
BMCN-ED,BMCN-ED-10002388 10002417,Null,10002388#10002417,Y,Null
BMCN-ED+JHHS ED RN,BMCN-ED+JHHS ED RN-10002388 60009978 10002417,Null,10002388#60009978#10002417,Y,Null
BMCN-ED Pediatrics,BMCN-ED Pediatrics-4004257607,4004257607,Null,Y,Null
BMCN-ED PEDS+INPT PEDS,BMCN-ED PEDS+INPT PEDS-4005357001 4004257607,4005357001#4004257607,Null,Y,Null
BMCN-LD,BMCN-LD-10002380,Null,10002380,Y,Null
BMCN-Med A,BMCN-Med A-10002391,Null,10002391,Y,Null
BMCN-MED B,BMCN-MED B-10002393,Null,10002393,Y,Null
BMCN-Med Burton 4,BMCN-Med Burton 4-60011929,Null,60011929,Y,Null
BMCN-Med D,BMCN-Med D-60010303,Null,60010303,Y,Null
BMCN-MICU,BMCN-MICU-10002378,Null,10002378,Y,Null
BMCN-NBN,BMCN-NBN-10002382,Null,10002382,Y,Null
BMCN-NCCU,BMCN-NCCU-10002369,Null,10002369,Y,Null
BMCN-NCCU/NSU,BMCN-NCCU/NSU-10002369 10002370,Null,10002369#10002370,Y,Null
BMCN-NICU,BMCN-NICU-10002383,Null,10002383,Y,Null
BMCN-NNP,BMCN-NNP-10002414,Null,10002414,Y,Null
BMCN-NSU,BMCN-NSU-10002370,Null,10002370,Y,Null
BMCN-Nursing Admin Mgmt,BMCN-Nursing Admin Mgmt-4801310007 4500150305,4801310007#4500150305,Null,Y,Null
BMCN-Nursing Practice IP EDU,BMCN-Nursing Practice IP EDU-4001350305,4001350305,Null,Y,Null
BMCN-Nursing Recruitment,BMCN-Nursing Recruitment-4001350308,4001350308,Null,Y,Null
BMCN-OBGYN,BMCN-OBGYN-10002380 10002381 10002382 60001326,Null,10002380#10002381#10002382#60001326,Y,Null
BMCN-PACU,BMCN-PACU-10002373,Null,10002373,Y,Null
BMCN-Patient Safety,BMCN-Patient Safety-4000850302,4000850302,Null,Y,Null
BMCN-PCU,BMCN-PCU-10002376,Null,10002376,Y,Null
BMCN-PEDS,BMCN-PEDS-10002384,Null,10002384,Y,Null
BMCN-Periop,BMCN-Periop-4007257201,4007257201,Null,Y,Null
BMCN-PES,BMCN-PES-60001301,Null,60001301,Y,Null
BMCN-SICU,BMCN-SICU-10002371,Null,10002371,Y,Null
BMCN-SURG,BMCN-SURG-10002366,Null,10002366,Y,Null
BMCN-Trauma Coordinator,BMCN-Trauma Coordinator-10002367,Null,10002367,Y,Null
BMCN-WENZ,BMCN-WENZ-10003776,Null,10003776,Y,Null
BMC-Patient Safety Ctr,BMC-Patient Safety Ctr-4000850302,4000850302,Null,Y,Null
FM-Global,FM-Global-4000350300 4000350301 4000350303 4000450306 4500310301 4500310303 4500310304 4500310305 4500310310 4500310311 4800310300 4800310302 4800310305 4800310314,4000350300#4000350301#4000350303#4000450306#4500310301#4500310303#4500310304#4500310305#4500310310#4500310311#4800310300#4800310302#4800310305#4800310314,Null,Y,Null
HCGH-4617517000-Docum. Central,HCGH-4617517000-Docum. Central-4617515000,4617515000,Null,Y,Null
HCGH-4617525000-Tcas,HCGH-4617525000-Tcas-4617525000,4617525000,Null,Y,Null
HCGH-4617555000-Tcas,HCGH-4617555000-Tcas-4617555000,4617555000,Null,Y,Null
