PerAdmin	CostCenter	
V2C	5480000000	
V2C	5480000010	
V2B	5470010080	
V2B	5470010090	
V2A	5450010010	
V2A	5450010060	
V2A	5450010080	
V2A	5450010130	
V2A	5450010190	
V2A	5450010230	
V2A	5450010280	
V2A	5450010330	
V2A	5450010380	
V2A	5450030010	
V2A	5470010090	
V29	5450010010	
V26	5450010080	
V26	5450010130	
V24	5450010130	
V24	5450010330	
V24	5459999998	
V23	5450010080	
V23	5450010130	
V23	5450010230	
V21	4500150250	
V21	5450010010	
V21	5450010080	
V21	5450010130	
V21	5450010190	
V11	5450010060	
TL9	4400019020	
TL9	4800710301	
TL9	4800710303	
TL9	4800750302	
TL9	6406930000	
TL9	9250010080	
TL9	9999992030	
TL9	9999992840	
TL9	9999992860	
TL2	9999999999	
TL1	4000050320	
TL1	4000050400	
TL1	4000450306	
TL1	4000450400	
TL1	4000650301	
TL1	4000650304	
TL1	4000650307	
TL1	4001350303	
TL1	4001350400	
TL1	4003057200	
TL1	4003157402	
TL1	4003657400	
TL1	4003657401	
TL1	4003657403	
TL1	4003657405	
TL1	4003657409	
TL1	4003957400	
TL1	4004257600	
TL1	4004257604	
TL1	4004257607	
TL1	4004657001	
TL1	4004657002	
TL1	4004657004	
TL1	4004657005	
TL1	4004657006	
TL1	4004657007	
TL1	4004657010	
TL1	4004657012	
TL1	4004657018	
TL1	4004657021	
TL1	4004657401	
TL1	4004657411	
TL1	4004657413	
TL1	4004957000	
TL1	4004957001	
TL1	4005357000	
TL1	4005557402	
TL1	4005757503	
TL1	4006257002	
TL1	4007157000	
TL1	4007257002	
TL1	4007257201	
TL1	4007257202	
TL1	4400019225	
TL1	4400029570	
TL1	4404012252	
TL1	4404134001	
TL1	4404516572	
TL1	4405003001	
TL1	4405009152	
TL1	4405010054	
TL1	4500010010	
TL1	4500030255	
TL1	4500040063	
TL1	4500050080	
TL1	4500060010	
TL1	4500080021	
TL1	4500160080	
TL1	4500160100	
TL1	4500160120	
TL1	4500160210	
TL1	4500160220	
TL1	4500200035	
TL1	4500200040	
TL1	4500200080	
TL1	4500220004	
TL1	4500310308	
TL1	4530010020	
TL1	4600033000	
TL1	4620010010	
TL1	4680020010	
TL1	4680020020	
TL1	4680020040	
TL1	4680020050	
TL1	4680020070	
TL1	4800010011	
TL1	4800010022	
TL1	4800010312	
TL1	4800010321	
TL1	4800310314	
TL1	4800610407	
TL1	4800810306	
TL1	4800810308	
TL1	4800830301	
TL1	4800910305	
TL1	4801010305	
TL1	4801310002	
TL1	4801310007	
TL1	4801310030	
TL1	4801310313	
TL1	4801336912	
TL1	4801336915	
TL1	4801336934	
TL1	4801336939	
TL1	4801336940	
TL1	4801336941	
TL1	4801336942	
TL1	4801336943	
TL1	4801336944	
TL1	4801336945	
TL1	4801336950	
TL1	4801336951	
TL1	4801336952	
TL1	4801336953	
TL1	4801336960	
TL1	4801336961	
TL1	4801336962	
TL1	4801336963	
TL1	4801336964	
TL1	4801336966	
TL1	4801336967	
TL1	4801336974	
TL1	4801336976	
TL1	4801336980	
TL1	4801337020	
TL1	4801337022	
TL1	4801337023	
TL1	4801337024	
TL1	4801337040	
TL1	4801337061	
TL1	4801337110	
TL1	4801337130	
TL1	4801337131	
TL1	4801337132	
TL1	4801337141	
TL1	4801337142	
TL1	4801337160	
TL1	4801337161	
TL1	4801337989	
TL1	4801357230	
TL1	4801357240	
TL1	4801357244	
TL1	4801357246	
TL1	4801357290	
TL1	4801357291	
TL1	4801357420	
TL1	4801357423	
TL1	4801357440	
TL1	4801357471	
TL1	4801357474	
TL1	4801357630	
TL1	4801377530	
TL1	4801377531	
TL1	4801717900	
TL1	4801717903	
TL1	4802218127	
TL1	4803017206	
TL1	4803017401	
TL1	4803117408	
TL1	4803117414	
TL1	4803117416	
TL1	4803310428	
TL1	4803317402	
TL1	4803317410	
TL1	4803317417	
