Hyperfind Name,Description,Cost Center,Org Unit,Employment Status,Schedule Group
Hyperfind Name,Hyperfind Name - Cost Center Org Unit Schedule Group,Employment Status
BMCN-BICU,BMCN-BICU - 10002372,Y
BMCN-BWU,BMCN-BWU - 10003898,Y
BMCN-CAP-Group 1,BMCN-CAP-Group 1 - 10003576 BMCN Group 1,Y
BMCN-CAP-Group 2,BMCN-CAP-Group 2 - 10003576 BMCN Group 2,Y
BMCN-CAROL BALL MED UNIT,BMCN-CAROL BALL MED UNIT - 60001880,Y
BMCN-CDU-Outpatient,BMCN-CDU-Outpatient - 10002396,Y
BMCN-Central Sterile,BMCN-Central Sterile - 10002368,Y
BMCN-CICU,BMCN-CICU - 10002377,Y
BMCN-ED,BMCN-ED - 10002388#10002417,Y
BMCN-ED + JHHS ED RN,BMCN-ED + JHHS ED RN - 10002388#60009978#10002417,Y
BMCN-ED Pediatrics,BMCN-ED Pediatrics - 4004257607,Y
BMCN-ED PEDS + INPT PEDS,BMCN-ED PEDS + INPT PEDS - 4005357001#4004257607,Y
BMCN-LD,BMCN-LD - 10002380,Y
BMCN-Med A,BMCN-Med A - 10002391,Y
BMCN-MED B,BMCN-MED B - 10002393,Y
BMCN-Med Burton 4,BMCN-Med Burton 4 - 60011929,Y
BMCN-Med D,BMCN-Med D - 60010303,Y
BMCN-MICU,BMCN-MICU - 10002378,Y
BMCN-NBN,BMCN-NBN - 10002382,Y
BMCN-NCCU,BMCN-NCCU - 10002369,Y
BMCN-NCCU/NSU,BMCN-NCCU/NSU - 10002369#10002370,Y
BMCN-NICU,BMCN-NICU - 10002383,Y
BMCN-NNP,BMCN-NNP - 10002414,Y
BMCN-NSU,BMCN-NSU - 10002370,Y
BMCN-Nursing Practice IP EDU,BMCN-Nursing Practice IP EDU - 4001350305,Y
BMCN-Nursing Recruitment,BMCN-Nursing Recruitment - 4001350308,Y
BMCN-OBGYN,BMCN-OBGYN - 10002380#10002381#10002382#60001326,Y
BMCN-PACU,BMCN-PACU - 10002373,Y
BMCN-Patient Safety,BMCN-Patient Safety - 4000850302,Y
BMCN-PCU,BMCN-PCU - 10002376,Y
BMCN-PEDS,BMCN-PEDS - 10002384,Y
BMCN-Periop,BMCN-Periop - 4007257201,Y
BMCN-PES,BMCN-PES - 60001301,Y
BMCN-SICU,BMCN-SICU - 10002371,Y
BMCN-SURG,BMCN-SURG - 10002366,Y
BMCN-Trauma Coordinator,BMCN-Trauma Coordinator - 10002367,Y
BMCN-WENZ,BMCN-WENZ - 10003776,Y
BMCN-Nursing Admin Mgmt,BMCN-Nursing Admin Mgmt - 4801310007#4500150305,Y
BMC-Patient Safety Ctr,BMC-Patient Safety Ctr - 4000850302,Y
FM-Global,FM-Global - 4000350300#4000350301#4000350303#4000450306#4500310301#4500310303#4500310304#4500310305#4500310310#4500310311#4800310300#4800310302#4800310305#4800310314,Y
HCGH-4608*-We/Alt Rad Dept,HCGH-4608*-We/Alt Rad Dept -,Y
HCGH-461*-CAS,HCGH-461*-CAS -,Y
HCGH-461*-Tcas Employees,HCGH-461*-Tcas Employees -,Y
HCGH-4617517000-Docum. Central,HCGH-4617517000-Docum. Central - 4617515000,Y
HCGH-4617525000-Tcas,HCGH-4617525000-Tcas - 4617525000,Y
HCGH-4617555000-Tcas,HCGH-4617555000-Tcas - 4617555000,Y
HCGH-6405410000-Innov+Continou,HCGH-6405410000-Innov+Continou - 6405410000,Y
HCGH-6405610000-Wellness Cente,HCGH-6405610000-Wellness Cente - 6405610000,Y
HCGH-6405700000-Gift Shop,HCGH-6405700000-Gift Shop - 6405700000,Y
HCGH-6405800000-CMTBCRC,HCGH-6405800000-CMTBCRC - 6405800000,Y
HCGH-6406010000-Administration,HCGH-6406010000-Administration - 6406010000,Y
HCGH-6406110000-Public Relatio,HCGH-6406110000-Public Relatio - 6406110000,Y
HCGH-6406115000-Medical Librar,HCGH-6406115000-Medical Librar - 6406115000,Y
HCGH-6406120000-Case Mgmt.,HCGH-6406120000-Case Mgmt. - 6406120000,Y
HCGH-6406121000-Utilization,HCGH-6406121000-Utilization - 6406121000,Y
HCGH-6406130000-ARM INS PAT SAF,HCGH-6406130000-ARM INS PAT SAF - 6406130000,Y
HCGH-6406140000-Patient Relations,HCGH-6406140000-Patient Relations - 6406140000,Y
HCGH-6406141000 PASTORAL,HCGH-6406141000 PASTORAL - 6406141000,Y
HCGH-6406141000-Pastoral Care,HCGH-6406141000-Pastoral Care - 6406141000,Y
HCGH-6406142000-Envir Services,HCGH-6406142000-Envir Services - 6406920000,Y
HCGH-6406142000-Volunteers,HCGH-6406142000-Volunteers - 6406142000,Y
HCGH-6406210000-Admitting,HCGH-6406210000-Admitting - 6406210000,Y
HCGH-6406210000-HOS Admitting,HCGH-6406210000-HOS Admitting - 6406210000,Y
HCGH-6406215000-Revenue Cycle,HCGH-6406215000-Revenue Cycle - 6406215000,Y
HCGH-6406250000-Finance Decisi,HCGH-6406250000-Finance Decisi - 6406250000,Y
HCGH-6406270000-Regulatory Com,HCGH-6406270000-Regulatory Com - 6406270000,Y
HCGH-6406310000-Info. Systems,HCGH-6406310000-Info. Systems - 6406310000,Y
HCGH-64063150000-Clinical Info,HCGH-64063150000-Clinical Info - 6406315000,Y
HCGH-6406350000-Communications,HCGH-6406350000-Communications - 6406350000,Y
HCGH-6406375000-EPIC,HCGH-6406375000-EPIC - 6406375000,Y
HCGH-6406375000-EPIC Install,HCGH-6406375000-EPIC Install - 6406375000,Y
HCGH-6406410000-Human Resource,HCGH-6406410000-Human Resource - 6406410000,Y
HCGH-6406430000-Emp. Health,HCGH-6406430000-Emp. Health - 6406430000,Y
HCGH-6406450000-Light Duty WC,HCGH-6406450000-Light Duty WC - 6406450000,Y
HCGH-6406510000-Health Info. M,HCGH-6406510000-Health Info. M - 6406510000,Y
HCGH-6406710000-Medical Staff,HCGH-6406710000-Medical Staff - 6406710000,Y
HCGH-6406810000-Material Mgmt.,HCGH-6406810000-Material Mgmt. - 6406810000,Y
HCGH-6406820000-General Stores,HCGH-6406820000-General Stores - 6406820000,Y
HCGH-6406930000-Safety+Securit,HCGH-6406930000-Safety+Securit - 6406930000,Y
HCGH-6406940000-Biomed,HCGH-6406940000-Biomed - 6406940000,Y
HCGH-6406950000-Plant Ops.,HCGH-6406950000-Plant Ops. - 6406950000,Y
HCGH-6406955000-Maint Bldng 1,HCGH-6406955000-Maint Bldng 1 - 6406955000,Y
HCGH-6407000000-Patient Care A,HCGH-6407000000-Patient Care A - 6407000000,Y
HCGH-6407010000-Nursing,HCGH-6407010000-Nursing - 6407010000,Y
HCGH-6407020000-Nursing Orient,HCGH-6407020000-Nursing Orient - 6407020000,Y
HCGH-6407030000-Externs,HCGH-6407030000-Externs - 6407030000,Y
HCGH-6407040000-Nurse Floats,HCGH-6407040000-Nurse Floats - 6407040000,Y
HCGH-6407041000-Med Surg Float Pool,HCGH-6407041000-Med Surg Float Pool - 6407041000,Y
HCGH-6407043000-Maternal Child Float Pool,HCGH-6407043000-Maternal Child Float Pool - 6407043000,Y
HCGH-6407044000-Emergency ADulT Float Pool,HCGH-6407044000-Emergency ADulT Float Pool - 6407044000,Y
HCGH-6407045000-BH Float Pool,HCGH-6407045000-BH Float Pool - 6407045000,Y
HCGH-6407050000-Continuing Edu,HCGH-6407050000-Continuing Edu - 6407050000,Y
HCGH-6407070000--Central Monitoing Nurs,HCGH-6407070000--Central Monitoing Nurs - 6407070000,Y
HCGH-6407071000-Constant Observer,HCGH-6407071000-Constant Observer - 6407071000,Y
HCGH-6407071000-Constant Observers,HCGH-6407071000-Constant Observers - 6407071000,Y
HCGH-6407120000-2 P Surg,HCGH-6407120000-2 P Surg - 6407120000,Y
HCGH-6407125000-Flr 2 South,HCGH-6407125000-Flr 2 South - 6407125000,Y
HCGH-6407130000-3 P Tele,HCGH-6407130000-3 P Tele - 6407130000,Y
HCGH-6407140000-Flr 4 Pavilion,HCGH-6407140000-Flr 4 Pavilion - 6407140000,Y
HCGH-6407210000-Psych,HCGH-6407210000-Psych - 6407210000,Y
HCGH-6407215000-Psych Social W,HCGH-6407215000-Psych Social W - 6407215000,Y
HCGH-6407230000-Flr 3 South,HCGH-6407230000-Flr 3 South - 6407230000,Y
HCGH-64072350000-CCU,HCGH-64072350000-CCU - 6407235000,Y
HCGH-6407310000-Pediatrics,HCGH-6407310000-Pediatrics - 6407310000,Y
HCGH-6407320000-MCU,HCGH-6407320000-MCU - 6407320000,Y
HCGH-6407330000-Nursery,HCGH-6407330000-Nursery - 6407330000,Y
HCGH-6407350000-Lactation,HCGH-6407350000-Lactation - 6407350000,Y
HCGH-6407360000-Labor+Delivery,HCGH-6407360000-Labor+Delivery - 6407360000,Y
HCGH-6407370000-CMFM,HCGH-6407370000-CMFM - 6407370000,Y
HCGH-6407380000-Audiology,HCGH-6407380000-Audiology - 6407380000,Y
HCGH-6407410000-Emergency Dept,HCGH-6407410000-Emergency Dept - 6407410000,Y
HCGH-6407420000-Pediatric Emer,HCGH-6407420000-Pediatric Emer - 6407420000,Y
HCGH-6407430000-CX ED Stroke,HCGH-6407430000-CX ED Stroke - 6407430000,Y
HCGH-6407440000-Short Stay,HCGH-6407440000-Short Stay - 6407440000,Y
HCGH-6407520000-Operating Room,HCGH-6407520000-Operating Room - 6407520000,Y
HCGH-6407530000-Same Day Surg,HCGH-6407530000-Same Day Surg - 6407530000,Y
HCGH-6407540000-Endoscopy Hosp,HCGH-6407540000-Endoscopy Hosp - 6407540000,Y
HCGH-6407550000-100 PACU,HCGH-6407550000-100 PACU - 6407550000,Y
HCGH-6407550000-400 PACU,HCGH-6407550000-400 PACU - 6407550000,Y
HCGH-6407560000-Aneshesiology,HCGH-6407560000-Aneshesiology - 6407560000,Y
HCGH-6407570000-Sterile Supply,HCGH-6407570000-Sterile Supply - 6407570000,Y
HCGH-6408*-Pulmonary Group,HCGH-6408*-Pulmonary Group -,Y
HCGH-6408200000-Outpatient Adm,HCGH-6408200000-Outpatient Adm - 6408200000,Y
HCGH-6408210000-Respir Therapy,HCGH-6408210000-Respir Therapy - 6408210000,Y
HCGH-6408215000-EEG,HCGH-6408215000-EEG - 6408215000,Y
HCGH-6408220000-Pulmonary Func,HCGH-6408220000-Pulmonary Func - 6408220000,Y
HCGH-6408225000-EKG,HCGH-6408225000-EKG - 6408225000,Y
HCGH-6408230000-EECP,HCGH-6408230000-EECP - 6408230000,Y
HCGH-6408235000-Echo,HCGH-6408235000-Echo - 6408235000,Y
HCGH-6408240000-Cardiac Diagno,HCGH-6408240000-Cardiac Diagno - 6408240000,Y
HCGH-6408245000-Cardiac Rehab,HCGH-6408245000-Cardiac Rehab - 6408245000,Y
HCGH-6408250000-Physical Ther Inp,HCGH-6408250000-Physical Ther Inp - 6408250000,Y
HCGH-6408250200-Outpatient PT,HCGH-6408250200-Outpatient PT - 6408250200,Y
HCGH-6408255000-Occ Therapy,HCGH-6408255000-Occ Therapy - 6408255000,Y
HCGH-6408255200-Outpatient OT,HCGH-6408255200-Outpatient OT - 6408255200,Y
HCGH-6408260000-Occ Ther Psych,HCGH-6408260000-Occ Ther Psych - 6408260000,Y
HCGH-6408265000-Speech Therapy,HCGH-6408265000-Speech Therapy - 6408265000,Y
HCGH-6408265200-Outpatient ST,HCGH-6408265200-Outpatient ST - 6408265200,Y
HCGH-6408310000-Phys+Surg Asst,HCGH-6408310000-Phys+Surg Asst - 6408310000,Y
HCGH-6408340000-Central Transp,HCGH-6408340000-Central Transp - 6408340000,Y
HCGH-6408400000-Imaging Admin,HCGH-6408400000-Imaging Admin - 6408400000,Y
HCGH-6408410000-Diagnostic Img,HCGH-6408410000-Diagnostic Img - 6408410000,Y
HCGH-6408415000-Radiation Onco,HCGH-6408415000-Radiation Onco - 6408415000,Y
HCGH-6408420000-Cat Scan,HCGH-6408420000-Cat Scan - 6408420000,Y
HCGH-6408430000-Nuclear Med,HCGH-6408430000-Nuclear Med - 6408430000,Y
HCGH-6408450000-MRI Hospital,HCGH-6408450000-MRI Hospital - 6408450000,Y
HCGH-6408460000-Mammography,HCGH-6408460000-Mammography - 6408460000,Y
HCGH-6408470000-Breast Health,HCGH-6408470000-Breast Health - 6408470000,Y
HCGH-6408475000-Cardiac Cath,HCGH-6408475000-Cardiac Cath - 6408475000,Y
HCGH-6408490000-Ultrasound,HCGH-6408490000-Ultrasound - 6408490000,Y
HCGH-6408493000-Perinatology,HCGH-6408493000-Perinatology - 6408493000,Y
HCGH-6408495000-Vascular Lab,HCGH-6408495000-Vascular Lab - 6408495000,Y
HCGH-6408520000-Anbulatory BGS,HCGH-6408520000-Anbulatory BGS - 6408520000,Y
HCGH-6408710000-Pharmacy,HCGH-6408710000-Pharmacy - 6408710000,Y
HCGH-6408805000-Clinic,HCGH-6408805000-Clinic - 6408810000,Y
HCGH-6408810000-ClinicInfusion,HCGH-6408810000-ClinicInfusion - 6408810000,Y
